Batch,Model,Preprocessing,Feature_Set,Sampling_Technique,Best_Parameters,CV_PR_AUC,CV_PR_AUC_std,Validation_PR_AUC,Precision,Recall,F1,ROC_AUC,CV_Recall,CV_Precision,CV_F1,CV_ROC_AUC,Train_Time_s,Notes
Batch_3,XGBoost,None (unscaled),full,,threshold=0.338 (F1-optimal) | regularization-refined,,,,0.8453,0.6592,0.7407,,,,,,,"Threshold-tuned (F1-optimal, chosen via training-set OOF CV)"
Batch_3,XGBoost,None (unscaled),full,,threshold=0.171 (F2-optimal) | regularization-refined,,,,0.6481,0.74,0.6911,,,,,,,"Threshold-tuned (F2-optimal, chosen via training-set OOF CV)"
Batch_3,LightGBM,None (unscaled),full,,threshold=0.661 (F0.5-optimal) | regularization-refined,,,,0.9568,0.551,0.6993,,,,,,,"Threshold-tuned (F0.5-optimal, chosen via training-set OOF CV)"
Batch_3,LightGBM,None (unscaled),full,,threshold=0.378 (F1-optimal) | regularization-refined,,,,0.8602,0.643,0.7359,,,,,,,"Threshold-tuned (F1-optimal, chosen via training-set OOF CV)"
Batch_3,LightGBM,None (unscaled),full,,threshold=0.162 (F2-optimal) | regularization-refined,,,,0.6693,0.7351,0.7007,,,,,,,"Threshold-tuned (F2-optimal, chosen via training-set OOF CV)"
Batch_3,LogisticRegression,RobustScaler,full,,threshold=0.339 (F0.5-optimal) | regularization-refined,,,,0.841,0.5261,0.6473,,,,,,,"Threshold-tuned (F0.5-optimal, chosen via training-set OOF CV)"
Batch_3,LogisticRegression,RobustScaler,full,,threshold=0.235 (F1-optimal) | regularization-refined,,,,0.7462,0.607,0.6694,,,,,,,"Threshold-tuned (F1-optimal, chosen via training-set OOF CV)"
Batch_3,LogisticRegression,RobustScaler,full,,threshold=0.159 (F2-optimal) | regularization-refined,,,,0.5626,0.7152,0.6298,,,,,,,"Threshold-tuned (F2-optimal, chosen via training-set OOF CV)"
Batch_3,MLP,RobustScaler,full,,threshold=0.663 (F0.5-optimal) | Batch 1 hyperparameters,,,,0.9603,0.541,0.6921,,,,,,,"Threshold-tuned (F0.5-optimal, chosen via training-set OOF CV)"
Batch_3,MLP,RobustScaler,full,,threshold=0.347 (F1-optimal) | Batch 1 hyperparameters,,,,0.8203,0.653,0.7271,,,,,,,"Threshold-tuned (F1-optimal, chosen via training-set OOF CV)"
Batch_3,MLP,RobustScaler,full,,threshold=0.153 (F2-optimal) | Batch 1 hyperparameters,,,,0.5833,0.7488,0.6558,,,,,,,"Threshold-tuned (F2-optimal, chosen via training-set OOF CV)"
Batch_3,RandomForest,None (unscaled),full,,threshold=0.434 (F0.5-optimal) | Batch 1 hyperparameters,,,,0.8988,0.5522,0.6841,,,,,,,"Threshold-tuned (F0.5-optimal, chosen via training-set OOF CV)"
Batch_3,RandomForest,None (unscaled),full,,threshold=0.339 (F1-optimal) | Batch 1 hyperparameters,,,,0.8524,0.6107,0.7116,,,,,,,"Threshold-tuned (F1-optimal, chosen via training-set OOF CV)"
Batch_3,RandomForest,None (unscaled),full,,threshold=0.186 (F2-optimal) | Batch 1 hyperparameters,,,,0.627,0.7214,0.6709,,,,,,,"Threshold-tuned (F2-optimal, chosen via training-set OOF CV)"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.630 (F0.5-optimal),,,0.8037,0.9509,0.5784,0.7193,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.338 (F1-optimal),,,0.8037,0.8323,0.6853,0.7517,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.171 (F2-optimal),,,0.8037,0.6485,0.7848,0.7102,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.276 (F1.3-optimal),,,0.8037,0.7852,0.7139,0.7479,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.231 (F1.5-optimal),,,0.8037,0.7398,0.7463,0.743,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,XGBoost,None (unscaled),full,None,threshold=0.195 (F1.75-optimal),,,0.8037,0.6905,0.7687,0.7275,0.9469,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8335"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.661 (F0.5-optimal),,,0.7994,0.9459,0.5871,0.7245,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.378 (F1-optimal),,,0.7994,0.8502,0.6704,0.7497,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.162 (F2-optimal),,,0.7994,0.6772,0.7699,0.7206,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.254 (F1.3-optimal),,,0.7994,0.7839,0.7264,0.754,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.238 (F1.5-optimal),,,0.7994,0.7696,0.7313,0.75,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
Final_Test,LightGBM,None (unscaled),full,None,threshold=0.162 (F1.75-optimal),,,0.7994,0.6772,0.7699,0.7206,0.9466,,,,,,"TEST SET (touched once, final evaluation) | Test_PR_AUC=0.8322"
